Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Jacqueline.X,2022.03.21 07:51:59 EDT,17640,VPN,0,1,172.22.126.54,10.128.20.151,UDP,1194,1349636400,
openvpn-server,Kayla.Y,2022.03.21 08:25:04 EDT,,VPN,0,0,172.31.249.33,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Harold.D,2022.03.21 08:38:46 EDT,35968,VPN,0,1,172.26.241.38,10.128.20.197,UDP,1194,3005486080,
openvpn-server,Cheryl.H,2022.03.21 09:01:06 EDT,,VPN,0,0,172.18.111.84,,UDP,1194,,user not found
openvpn-server,Shirley.C,2022.03.21 09:26:56 EDT,26662,VPN,0,1,172.25.164.118,10.128.20.145,UDP,1194,7137497386,
openvpn-server,Ann.J,2022.03.21 09:41:38 EDT,,VPN,0,0,172.18.105.102,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Brenda.S,2022.03.21 10:16:05 EDT,15987,VPN,0,1,172.31.8.77,10.128.20.2,UDP,1194,3691222443,
openvpn-server,Steven.K,2022.03.21 10:40:45 EDT,16941,VPN,0,1,172.16.223.191,10.128.20.249,UDP,1194,3599352624,
openvpn-server,Katherine.Q,2022.03.21 11:06:13 EDT,22833,VPN,0,1,172.24.0.163,10.128.20.183,UDP,1194,2135250828,
openvpn-server,Rebecca.U,2022.03.21 11:33:14 EDT,12020,VPN,0,1,172.30.88.72,10.128.20.208,UDP,1194,1694315160,
openvpn-server,Martha.B,2022.03.21 11:59:08 EDT,1601,VPN,0,1,172.21.51.157,10.128.20.106,UDP,1194,66137310,
openvpn-server,Heather.Y,2022.03.21 12:34:20 EDT,19371,VPN,0,1,172.27.248.56,10.128.20.158,UDP,1194,1882783716,
openvpn-server,Jerry.D,2022.03.21 12:48:08 EDT,20606,VPN,0,1,172.19.183.75,10.128.20.133,UDP,1194,438804770,
openvpn-server,Jeffrey.C,2022.03.21 13:26:27 EDT,6694,VPN,0,1,172.19.51.49,10.128.20.222,UDP,1194,1032315210,
